0	Natural language processing (NLP) is one of the most important technologies to arise in recent years.
1	Specifically, 2019 has been a big year for NLP with the introduction of the revolutionary BERT language representation model.
2	There are a large variety of underlying tasks and machine learning models powering NLP applications.
3	Recently, deep learning approaches have obtained very high performance across many different NLP tasks.
4	Convolutional Neural Network (CNNs) are typically associated with computer vision, but more recently CNNs have been applied to problems in NLP.
5	In addition, there are many other models being applied to NLP including word vector representations, window-based neural networks, recurrent neural networks, long-short-term-memory models, recursive neural networks, and others.
6	[Related Article: The Most Influential Deep Learning Research of 2019]
7	In this article, I’ll help get you up speed with current NLP research efforts by curating a list of the best NLP research of 2019 on arXiv.org down to the manageable short-list of my favorites below.
8	Enjoy!
9	"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
Google AI Language researchers introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers."
10	Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.
11	As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.
12	BERT is conceptually simple and empirically powerful.
13	"The State of NLP Literature: A Diachronic Analysis of the ACL Anthology
The ACL Anthology (AA) is a digital repository of tens of thousands of articles on Natural Language Processing (NLP)."
14	This paper examines the literature as a whole to identify broad trends in productivity, focus, and impact.
15	It presents the analyses in a sequence of questions and answers.
16	The goal is to record the state of the AA literature: (i) who and how many of us are publishing?
17	(ii) what are we publishing on?
18	(iii) where and in what form are we publishing?
19	and (iv) what is the impact of our publications?
20	The answers are usually in the form of numbers, graphs, and inter-connected visualizations.
21	Special emphasis is laid on the demographics and inclusiveness of NLP publishing.
22	"ERASER: A Benchmark to Evaluate Rationalized NLP Models
State-of-the-art models in NLP are now predominantly based on deep neural networks that are generally opaque in terms of how they come to specific predictions."
23	This limitation has led to increased interest in designing more interpretable deep models for NLP that can reveal the `reasoning’ underlying model outputs.
24	But work in this direction has been conducted on different datasets and tasks with correspondingly unique aims and metrics; this makes it difficult to track progress.
